,All Locations,Duration,Earliest Start Date,Application Deadline,Languages,Study Type,Pace,Tuition Fees**,url,Tuition Fees*,Tuition Fees,Study Locations,"Belgium, Brussels"
0,"Halifax Regional Municipality, Canada",22 months,15 Jun 2022,Request Info*,English,Campus,Full-time,"CAD 54,575 / year",https://www.mbastudies.com/Corporate-Residency-MBA/Canada/Dalhousie-University/,,,,
1,"Vancouver, Canada",2 years,Apr 2022,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA/Canada/University-Canada-West-(UCW)/,"CAD 25,740",,,
2,"Montreal, Canada",12 - 20 months,01 Aug 2022,01 May 2022*,English,Campus,Full-time,"CAD 98,000 / year",https://www.mbastudies.com/MBA/Canada/McGill-University-Desautels-Faculty-of-Management/,,,,
3,"Sharjah, United Arab Emirates, Lagos, Nigeria, United Arab Emirates Online, United Arab Emirates, Cape Town, South Africa, Kuwait City, Kuwait, Riyadh, Saudi Arabia, Johannesburg, South Africa, Dammam, Saudi Arabia, Bahrain Online, Bahrain, Accra, Ghana, Toronto, Canada, Dubai, United Arab Emirates, Nigeria Online, Nigeria, Toronto, Canada, Cape Town, South Africa, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, Amman, Jordan",12 - 16 months,Open Enrollment,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-Awarded-BY-Cardiff-Metropolitan-University-UK/United-Arab-Emirates/Westford-University-College/,"USD 10,500 / year",,,
4,"Ottawa, Canada",16 months,Sep 2022,Request Info*,English,Campus,Full-time,"CAD 64,000 / course",https://www.mbastudies.com/MBA/Canada/Carleton’s-Sprott-School-of-Business/,,,,
5,"Saint John, Canada",2 - 5 semesters,Oct 2022,15 May 2022,English,Campus,Full-time,,https://www.mbastudies.com/Master-of-Business-Administration/Canada/UNB-Business/,"CAD 29,500 / year",,,
6,"Calgary, Canada",2 years,Sep 2022,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA/Canada/University-of-Calgary/,,Request Info,,
7,"Montreal, Canada",1 year,Sep 2022,15 May 2022*,"English, French",Campus,Full-time,"CAD 54,000",https://www.mbastudies.com/Full-time-MBA/Canada/HEC-Montréal/,,,,
8,"Victoria, Canada",18 - 31 months,26 Jul 2022,26 Apr 2022*,English,Online & Campus Combined,Full-time,"CAD 52,133",https://www.mbastudies.com/Master-of-Business-Administration-in-Executive-Management/Canada/Royal-Roads-University/,,,,
9,"Vancouver, Canada",12 months,Request Info,Request Info*,English,Campus,Full-time,"CAD 41,310 / year",https://www.mbastudies.com/Full-Time-MBA/Canada/Simon-Fraser-University-Beedie-School-of-Business/,,,,
